"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2010Q1","Finland","Total","Total","Total","Rejected","Person","1,125"
"2010Q1","Sweden","Total","Total","Total","Rejected","Person","3,780"
"2010Q1","United Kingdom","Total","Total","Total","Rejected","Person","5,425"
"2010Q1","Norway","Total","Total","Total","Rejected","Person","3,035"
"2010Q2","Belgium","Total","Total","Total","Rejected","Person","3,010"
"2010Q2","Bulgaria","Total","Total","Total","Rejected","Person","85"
"2010Q2","Czech Republic","Total","Total","Total","Rejected","Person","70"
"2010Q2","Denmark","Total","Total","Total","Rejected","Person","430"
"2010Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","7,760"
"2010Q2","Estonia","Total","Total","Total","Rejected","Person","5"
"2010Q2","Ireland","Total","Total","Total","Rejected","Person","425"
"2010Q2","Greece","Total","Total","Total","Rejected","Person","1,125"
"2010Q2","Spain","Total","Total","Total","Rejected","Person","585"
"2010Q2","France","Total","Total","Total","Rejected","Person","8,130"
"2010Q2","Italy","Total","Total","Total","Rejected","Person","1,710"
"2010Q2","Cyprus","Total","Total","Total","Rejected","Person","485"
"2010Q2","Latvia","Total","Total","Total","Rejected","Person","5"
"2010Q2","Lithuania","Total","Total","Total","Rejected","Person","25"
"2010Q2","Luxembourg","Total","Total","Total","Rejected","Person","65"
"2010Q2","Hungary","Total","Total","Total","Rejected","Person","155"
"2010Q2","Malta","Total","Total","Total","Rejected","Person","10"
"2010Q2","Netherlands","Total","Total","Total","Rejected","Person","2,595"
"2010Q2","Austria","Total","Total","Total","Rejected","Person","2,635"
"2010Q2","Poland","Total","Total","Total","Rejected","Person","1,130"
"2010Q2","Portugal","Total","Total","Total","Rejected","Person","20"
"2010Q2","Romania","Total","Total","Total","Rejected","Person","40"
"2010Q2","Slovenia","Total","Total","Total","Rejected","Person","15"
"2010Q2","Slovakia","Total","Total","Total","Rejected","Person","55"
"2010Q2","Finland","Total","Total","Total","Rejected","Person","1,050"
"2010Q2","Sweden","Total","Total","Total","Rejected","Person","4,340"
"2010Q2","United Kingdom","Total","Total","Total","Rejected","Person","5,250"
"2010Q2","Norway","Total","Total","Total","Rejected","Person","2,310"
"2010Q3","Belgium","Total","Total","Total","Rejected","Person","3,175"
"2010Q3","Bulgaria","Total","Total","Total","Rejected","Person","85"
"2010Q3","Czech Republic","Total","Total","Total","Rejected","Person","85"
"2010Q3","Denmark","Total","Total","Total","Rejected","Person","525"
"2010Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","9,920"
"2010Q3","Estonia","Total","Total","Total","Rejected","Person","5"
"2010Q3","Ireland","Total","Total","Total","Rejected","Person","370"
"2010Q3","Greece","Total","Total","Total","Rejected","Person","690"
"2010Q3","Spain","Total","Total","Total","Rejected","Person","625"
"2010Q3","France","Total","Total","Total","Rejected","Person","8,020"
"2010Q3","Italy","Total","Total","Total","Rejected","Person","1,415"
"2010Q3","Cyprus","Total","Total","Total","Rejected","Person","525"
"2010Q3","Latvia","Total","Total","Total","Rejected","Person","5"
"2010Q3","Lithuania","Total","Total","Total","Rejected","Person","15"
"2010Q3","Luxembourg","Total","Total","Total","Rejected","Person","90"
"2010Q3","Hungary","Total","Total","Total","Rejected","Person","230"
"2010Q3","Malta","Total","Total","Total","Rejected","Person","15"
"2010Q3","Netherlands","Total","Total","Total","Rejected","Person","2,450"
"2010Q3","Austria","Total","Total","Total","Rejected","Person","2,450"
"2010Q3","Poland","Total","Total","Total","Rejected","Person","960"
"2010Q3","Portugal","Total","Total","Total","Rejected","Person","20"
"2010Q3","Romania","Total","Total","Total","Rejected","Person","75"
"2010Q3","Slovenia","Total","Total","Total","Rejected","Person","25"
"2010Q3","Slovakia","Total","Total","Total","Rejected","Person","60"
"2010Q3","Finland","Total","Total","Total","Rejected","Person","740"
"2010Q3","Sweden","Total","Total","Total","Rejected","Person","3,940"
"2010Q3","United Kingdom","Total","Total","Total","Rejected","Person","4,895"
"2010Q3","Norway","Total","Total","Total","Rejected","Person","2,540"
"2010Q4","Belgium","Total","Total","Total","Rejected","Person","3,990"
"2010Q4","Bulgaria","Total","Total","Total","Rejected","Person","105"
"2010Q4","Czech Republic","Total","Total","Total","Rejected","Person","85"
"2010Q4","Denmark","Total","Total","Total","Rejected","Person","580"
"2010Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","11,410"
"2010Q4","Estonia","Total","Total","Total","Rejected","Person","0"
"2010Q4","Ireland","Total","Total","Total","Rejected","Person","285"
"2010Q4","Greece","Total","Total","Total","Rejected","Person","570"
"2010Q4","Spain","Total","Total","Total","Rejected","Person","575"
"2010Q4","France","Total","Total","Total","Rejected","Person","8,485"
"2010Q4","Italy","Total","Total","Total","Rejected","Person","2,035"
"2010Q4","Cyprus","Total","Total","Total","Rejected","Person","585"
"2010Q4","Latvia","Total","Total","Total","Rejected","Person","10"
"2010Q4","Lithuania","Total","Total","Total","Rejected","Person","110"
"2010Q4","Luxembourg","Total","Total","Total","Rejected","Person","125"
"2010Q4","Hungary","Total","Total","Total","Rejected","Person","125"
"2010Q4","Malta","Total","Total","Total","Rejected","Person","25"
"2010Q4","Netherlands","Total","Total","Total","Rejected","Person","2,160"
"2010Q4","Austria","Total","Total","Total","Rejected","Person","2,290"
"2010Q4","Poland","Total","Total","Total","Rejected","Person","780"
"2010Q4","Portugal","Total","Total","Total","Rejected","Person","10"
"2010Q4","Romania","Total","Total","Total","Rejected","Person","135"
"2010Q4","Slovenia","Total","Total","Total","Rejected","Person","35"
"2010Q4","Slovakia","Total","Total","Total","Rejected","Person","45"
"2010Q4","Finland","Total","Total","Total","Rejected","Person","375"
"2010Q4","Sweden","Total","Total","Total","Rejected","Person","7,145"
"2010Q4","United Kingdom","Total","Total","Total","Rejected","Person","4,625"
"2010Q4","Norway","Total","Total","Total","Rejected","Person","2,320"
"2011Q1","Belgium","Total","Total","Total","Rejected","Person","3,855"
"2011Q1","Bulgaria","Total","Total","Total","Rejected","Person","80"
"2011Q1","Czech Republic","Total","Total","Total","Rejected","Person","85"
"2011Q1","Denmark","Total","Total","Total","Rejected","Person","565"
"2011Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","9,285"
"2011Q1","Estonia","Total","Total","Total","Rejected","Person","10"
"2011Q1","Ireland","Total","Total","Total","Rejected","Person","380"
"2011Q1","Greece","Total","Total","Total","Rejected","Person","1,265"
"2011Q1","Spain","Total","Total","Total","Rejected","Person","620"
"2011Q1","France","Total","Total","Total","Rejected","Person","8,240"
"2011Q1","Italy","Total","Total","Total","Rejected","Person","2,120"
"2011Q1","Cyprus","Total","Total","Total","Rejected","Person","485"
"2011Q1","Latvia","Total","Total","Total","Rejected","Person","10"
"2011Q1","Lithuania","Total","Total","Total","Rejected","Person","60"
"2011Q1","Luxembourg","Total","Total","Total","Rejected","Person","220"
"2011Q1","Hungary","Total","Total","Total","Rejected","Person","130"
"2011Q1","Malta","Total","Total","Total","Rejected","Person","20"
"2011Q1","Netherlands","Total","Total","Total","Rejected","Person","2,050"
"2011Q1","Austria","Total","Total","Total","Rejected","Person","2,205"
"2011Q1","Poland","Total","Total","Total","Rejected","Person","650"
"2011Q1","Portugal","Total","Total","Total","Rejected","Person","5"
"2011Q1","Romania","Total","Total","Total","Rejected","Person","80"
"2011Q1","Slovenia","Total","Total","Total","Rejected","Person","30"
"2011Q1","Slovakia","Total","Total","Total","Rejected","Person","20"
"2011Q1","Finland","Total","Total","Total","Rejected","Person","460"
"2011Q1","Sweden","Total","Total","Total","Rejected","Person","4,615"
"2011Q1","United Kingdom","Total","Total","Total","Rejected","Person","4,595"
"2011Q1","Norway","Total","Total","Total","Rejected","Person","1,935"
"2011Q2","Belgium","Total","Total","Total","Rejected","Person","2,805"
"2011Q2","Bulgaria","Total","Total","Total","Rejected","Person","55"
"2011Q2","Czech Republic","Total","Total","Total","Rejected","Person","105"
"2011Q2","Denmark","Total","Total","Total","Rejected","Person","650"
"2011Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","7,105"
"2011Q2","Estonia","Total","Total","Total","Rejected","Person","10"
"2011Q2","Ireland","Total","Total","Total","Rejected","Person","315"
"2011Q2","Greece","Total","Total","Total","Rejected","Person","2,345"
"2011Q2","Spain","Total","Total","Total","Rejected","Person","505"
"2011Q2","France","Total","Total","Total","Rejected","Person","9,900"
"2011Q2","Italy","Total","Total","Total","Rejected","Person","3,845"
"2011Q2","Cyprus","Total","Total","Total","Rejected","Person","1,005"
"2011Q2","Latvia","Total","Total","Total","Rejected","Person","15"
"2011Q2","Lithuania","Total","Total","Total","Rejected","Person","25"
"2011Q2","Luxembourg","Total","Total","Total","Rejected","Person","265"
"2011Q2","Hungary","Total","Total","Total","Rejected","Person","155"
"2011Q2","Malta","Total","Total","Total","Rejected","Person","50"
"2011Q2","Netherlands","Total","Total","Total","Rejected","Person","2,140"
"2011Q2","Austria","Total","Total","Total","Rejected","Person","2,025"
"2011Q2","Poland","Total","Total","Total","Rejected","Person","725"
"2011Q2","Portugal","Total","Total","Total","Rejected","Person","5"
"2011Q2","Romania","Total","Total","Total","Rejected","Person","175"
"2011Q2","Slovenia","Total","Total","Total","Rejected","Person","65"
"2011Q2","Slovakia","Total","Total","Total","Rejected","Person","45"
"2011Q2","Finland","Total","Total","Total","Rejected","Person","365"
"2011Q2","Sweden","Total","Total","Total","Rejected","Person","4,420"
"2011Q2","United Kingdom","Total","Total","Total","Rejected","Person","3,885"
"2011Q2","Norway","Total","Total","Total","Rejected","Person","1,345"
"2011Q3","Belgium","Total","Total","Total","Rejected","Person","3,055"
"2011Q3","Bulgaria","Total","Total","Total","Rejected","Person","60"
"2011Q3","Czech Republic","Total","Total","Total","Rejected","Person","90"
"2011Q3","Denmark","Total","Total","Total","Rejected","Person","465"
"2011Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","6,435"
"2011Q3","Estonia","Total","Total","Total","Rejected","Person","25"
"2011Q3","Ireland","Total","Total","Total","Rejected","Person","345"
"2011Q3","Greece","Total","Total","Total","Rejected","Person","2,600"
"2011Q3","Spain","Total","Total","Total","Rejected","Person","585"
"2011Q3","France","Total","Total","Total","Rejected","Person","8,710"
"2011Q3","Italy","Total","Total","Total","Rejected","Person","5,075"
"2011Q3","Cyprus","Total","Total","Total","Rejected","Person","640"
"2011Q3","Latvia","Total","Total","Total","Rejected","Person","15"
"2011Q3","Lithuania","Total","Total","Total","Rejected","Person","90"
"2011Q3","Luxembourg","Total","Total","Total","Rejected","Person","180"
"2011Q3","Hungary","Total","Total","Total","Rejected","Person","215"
"2011Q3","Malta","Total","Total","Total","Rejected","Person","330"
"2011Q3","Netherlands","Total","Total","Total","Rejected","Person","2,360"
"2011Q3","Austria","Total","Total","Total","Rejected","Person","2,305"
"2011Q3","Poland","Total","Total","Total","Rejected","Person","690"
"2011Q3","Portugal","Total","Total","Total","Rejected","Person","15"
"2011Q3","Romania","Total","Total","Total","Rejected","Person","355"
"2011Q3","Slovenia","Total","Total","Total","Rejected","Person","45"
"2011Q3","Slovakia","Total","Total","Total","Rejected","Person","20"
"2011Q3","Finland","Total","Total","Total","Rejected","Person","330"
"2011Q3","Sweden","Total","Total","Total","Rejected","Person","3,650"
