"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2003M01","Czech Republic","Total positive decisions","Total","Person","25"
"2003M01","Denmark","Total positive decisions","Total","Person","120"
"2003M01","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","585"
"2003M01","Estonia","Total positive decisions","Total","Person","0"
"2003M01","Ireland","Total positive decisions","Total","Person","40"
"2003M01","Greece","Total positive decisions","Total","Person","0"
"2003M01","Spain","Total positive decisions","Total","Person","25"
"2003M01","France","Total positive decisions","Total","Person","440"
"2003M01","Italy","Total positive decisions","Total","Person",":"
"2003M01","Cyprus","Total positive decisions","Total","Person",":"
"2003M01","Latvia","Total positive decisions","Total","Person","0"
"2003M01","Lithuania","Total positive decisions","Total","Person","45"
"2003M01","Luxembourg","Total positive decisions","Total","Person",":"
"2003M01","Hungary","Total positive decisions","Total","Person","160"
"2003M01","Malta","Total positive decisions","Total","Person","10"
"2003M01","Netherlands","Total positive decisions","Total","Person","385"
"2003M01","Austria","Total positive decisions","Total","Person","90"
"2003M01","Poland","Total positive decisions","Total","Person","20"
"2003M01","Portugal","Total positive decisions","Total","Person","0"
"2003M01","Romania","Total positive decisions","Total","Person",":"
"2003M01","Slovenia","Total positive decisions","Total","Person","0"
"2003M01","Slovakia","Total positive decisions","Total","Person","0"
"2003M01","Finland","Total positive decisions","Total","Person","35"
"2003M01","Sweden","Total positive decisions","Total","Person","400"
"2003M01","United Kingdom","Total positive decisions","Total","Person","2,425"
"2003M01","Norway","Total positive decisions","Total","Person","225"
"2003M02","Belgium","Total positive decisions","Total","Person",":"
"2003M02","Bulgaria","Total positive decisions","Total","Person","30"
"2003M02","Czech Republic","Total positive decisions","Total","Person","30"
"2003M02","Denmark","Total positive decisions","Total","Person","110"
"2003M02","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","560"
"2003M02","Estonia","Total positive decisions","Total","Person","0"
"2003M02","Ireland","Total positive decisions","Total","Person","35"
"2003M02","Greece","Total positive decisions","Total","Person","20"
"2003M02","Spain","Total positive decisions","Total","Person","15"
"2003M02","France","Total positive decisions","Total","Person","390"
"2003M02","Italy","Total positive decisions","Total","Person",":"
"2003M02","Cyprus","Total positive decisions","Total","Person",":"
"2003M02","Latvia","Total positive decisions","Total","Person","0"
"2003M02","Lithuania","Total positive decisions","Total","Person","50"
"2003M02","Luxembourg","Total positive decisions","Total","Person",":"
"2003M02","Hungary","Total positive decisions","Total","Person","90"
"2003M02","Malta","Total positive decisions","Total","Person","25"
"2003M02","Netherlands","Total positive decisions","Total","Person","400"
"2003M02","Austria","Total positive decisions","Total","Person","125"
"2003M02","Poland","Total positive decisions","Total","Person","10"
"2003M02","Portugal","Total positive decisions","Total","Person","5"
"2003M02","Romania","Total positive decisions","Total","Person",":"
"2003M02","Slovenia","Total positive decisions","Total","Person","0"
"2003M02","Slovakia","Total positive decisions","Total","Person","0"
"2003M02","Finland","Total positive decisions","Total","Person","60"
"2003M02","Sweden","Total positive decisions","Total","Person","635"
"2003M02","United Kingdom","Total positive decisions","Total","Person","2,185"
"2003M02","Norway","Total positive decisions","Total","Person","215"
"2003M03","Belgium","Total positive decisions","Total","Person",":"
"2003M03","Bulgaria","Total positive decisions","Total","Person","55"
"2003M03","Czech Republic","Total positive decisions","Total","Person","10"
"2003M03","Denmark","Total positive decisions","Total","Person","135"
"2003M03","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","565"
"2003M03","Estonia","Total positive decisions","Total","Person","0"
"2003M03","Ireland","Total positive decisions","Total","Person","20"
"2003M03","Greece","Total positive decisions","Total","Person","0"
"2003M03","Spain","Total positive decisions","Total","Person","25"
"2003M03","France","Total positive decisions","Total","Person","445"
"2003M03","Italy","Total positive decisions","Total","Person",":"
"2003M03","Cyprus","Total positive decisions","Total","Person",":"
"2003M03","Latvia","Total positive decisions","Total","Person","0"
"2003M03","Lithuania","Total positive decisions","Total","Person","40"
"2003M03","Luxembourg","Total positive decisions","Total","Person",":"
"2003M03","Hungary","Total positive decisions","Total","Person","70"
"2003M03","Malta","Total positive decisions","Total","Person","25"
"2003M03","Netherlands","Total positive decisions","Total","Person","415"
"2003M03","Austria","Total positive decisions","Total","Person","115"
"2003M03","Poland","Total positive decisions","Total","Person","15"
"2003M03","Portugal","Total positive decisions","Total","Person","0"
"2003M03","Romania","Total positive decisions","Total","Person",":"
"2003M03","Slovenia","Total positive decisions","Total","Person","0"
"2003M03","Slovakia","Total positive decisions","Total","Person","0"
"2003M03","Finland","Total positive decisions","Total","Person","35"
"2003M03","Sweden","Total positive decisions","Total","Person","655"
"2003M03","United Kingdom","Total positive decisions","Total","Person","1,830"
"2003M03","Norway","Total positive decisions","Total","Person","160"
"2003M04","Belgium","Total positive decisions","Total","Person",":"
"2003M04","Bulgaria","Total positive decisions","Total","Person","60"
"2003M04","Czech Republic","Total positive decisions","Total","Person","20"
"2003M04","Denmark","Total positive decisions","Total","Person","90"
"2003M04","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","355"
"2003M04","Estonia","Total positive decisions","Total","Person","0"
"2003M04","Ireland","Total positive decisions","Total","Person","35"
"2003M04","Greece","Total positive decisions","Total","Person","0"
"2003M04","Spain","Total positive decisions","Total","Person","35"
"2003M04","France","Total positive decisions","Total","Person","595"
"2003M04","Italy","Total positive decisions","Total","Person",":"
"2003M04","Cyprus","Total positive decisions","Total","Person",":"
"2003M04","Latvia","Total positive decisions","Total","Person","0"
"2003M04","Lithuania","Total positive decisions","Total","Person","45"
"2003M04","Luxembourg","Total positive decisions","Total","Person",":"
"2003M04","Hungary","Total positive decisions","Total","Person","100"
"2003M04","Malta","Total positive decisions","Total","Person","30"
"2003M04","Netherlands","Total positive decisions","Total","Person","405"
"2003M04","Austria","Total positive decisions","Total","Person","125"
"2003M04","Poland","Total positive decisions","Total","Person","25"
"2003M04","Portugal","Total positive decisions","Total","Person","0"
"2003M04","Romania","Total positive decisions","Total","Person",":"
"2003M04","Slovenia","Total positive decisions","Total","Person","10"
"2003M04","Slovakia","Total positive decisions","Total","Person","0"
"2003M04","Finland","Total positive decisions","Total","Person","40"
"2003M04","Sweden","Total positive decisions","Total","Person","285"
"2003M04","United Kingdom","Total positive decisions","Total","Person","755"
"2003M04","Norway","Total positive decisions","Total","Person","205"
"2003M05","Belgium","Total positive decisions","Total","Person",":"
"2003M05","Bulgaria","Total positive decisions","Total","Person","20"
"2003M05","Czech Republic","Total positive decisions","Total","Person","35"
"2003M05","Denmark","Total positive decisions","Total","Person","70"
"2003M05","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","415"
"2003M05","Estonia","Total positive decisions","Total","Person","0"
"2003M05","Ireland","Total positive decisions","Total","Person","30"
"2003M05","Greece","Total positive decisions","Total","Person","0"
"2003M05","Spain","Total positive decisions","Total","Person","40"
"2003M05","France","Total positive decisions","Total","Person","555"
"2003M05","Italy","Total positive decisions","Total","Person",":"
"2003M05","Cyprus","Total positive decisions","Total","Person",":"
"2003M05","Latvia","Total positive decisions","Total","Person","0"
"2003M05","Lithuania","Total positive decisions","Total","Person","65"
"2003M05","Luxembourg","Total positive decisions","Total","Person",":"
"2003M05","Hungary","Total positive decisions","Total","Person","50"
"2003M05","Malta","Total positive decisions","Total","Person","40"
"2003M05","Netherlands","Total positive decisions","Total","Person","510"
"2003M05","Austria","Total positive decisions","Total","Person","105"
"2003M05","Poland","Total positive decisions","Total","Person","5"
"2003M05","Portugal","Total positive decisions","Total","Person","0"
"2003M05","Romania","Total positive decisions","Total","Person",":"
"2003M05","Slovenia","Total positive decisions","Total","Person","0"
"2003M05","Slovakia","Total positive decisions","Total","Person","0"
"2003M05","Finland","Total positive decisions","Total","Person","15"
"2003M05","Sweden","Total positive decisions","Total","Person","315"
"2003M05","United Kingdom","Total positive decisions","Total","Person","840"
"2003M05","Norway","Total positive decisions","Total","Person","220"
"2003M06","Belgium","Total positive decisions","Total","Person",":"
"2003M06","Bulgaria","Total positive decisions","Total","Person","95"
"2003M06","Czech Republic","Total positive decisions","Total","Person","15"
"2003M06","Denmark","Total positive decisions","Total","Person","55"
"2003M06","Germany (until 1990 former territory of the FRG)","Total positive decisions","Total","Person","105"
"2003M06","Estonia","Total positive decisions","Total","Person","0"
"2003M06","Ireland","Total positive decisions","Total","Person","25"
"2003M06","Greece","Total positive decisions","Total","Person","0"
"2003M06","Spain","Total positive decisions","Total","Person","35"
"2003M06","France","Total positive decisions","Total","Person","590"
"2003M06","Italy","Total positive decisions","Total","Person",":"
