"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2008Q3","Bulgaria","Total","Total","Total","Total positive decisions","Person","105"
"2008Q3","Czech Republic","Total","Total","Total","Total positive decisions","Person","45"
"2008Q3","Denmark","Total","Total","Total","Total positive decisions","Person","200"
"2008Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,110"
"2008Q3","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q3","Ireland","Total","Total","Total","Total positive decisions","Person","65"
"2008Q3","Greece","Total","Total","Total","Total positive decisions","Person","0"
"2008Q3","Spain","Total","Total","Total","Total positive decisions","Person","75"
"2008Q3","France","Total","Total","Total","Total positive decisions","Person","1,235"
"2008Q3","Italy","Total","Total","Total","Total positive decisions","Person","2,990"
"2008Q3","Cyprus","Total","Total","Total","Total positive decisions","Person","0"
"2008Q3","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q3","Lithuania","Total","Total","Total","Total positive decisions","Person","10"
"2008Q3","Luxembourg","Total","Total","Total","Total positive decisions","Person","55"
"2008Q3","Hungary","Total","Total","Total","Total positive decisions","Person","100"
"2008Q3","Malta","Total","Total","Total","Total positive decisions","Person","445"
"2008Q3","Netherlands","Total","Total","Total","Total positive decisions","Person","1,765"
"2008Q3","Austria","Total","Total","Total","Total positive decisions","Person","865"
"2008Q3","Poland","Total","Total","Total","Total positive decisions","Person","405"
"2008Q3","Portugal","Total","Total","Total","Total positive decisions","Person","15"
"2008Q3","Romania","Total","Total","Total","Total positive decisions","Person","25"
"2008Q3","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q3","Slovakia","Total","Total","Total","Total positive decisions","Person","25"
"2008Q3","Finland","Total","Total","Total","Total positive decisions","Person","130"
"2008Q3","Sweden","Total","Total","Total","Total positive decisions","Person","1,545"
"2008Q3","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,720"
"2008Q3","Norway","Total","Total","Total","Total positive decisions","Person","505"
"2008Q4","Belgium","Total","Total","Total","Total positive decisions","Person","870"
"2008Q4","Bulgaria","Total","Total","Total","Total positive decisions","Person","20"
"2008Q4","Czech Republic","Total","Total","Total","Total positive decisions","Person","55"
"2008Q4","Denmark","Total","Total","Total","Total positive decisions","Person","120"
"2008Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","1,975"
"2008Q4","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q4","Ireland","Total","Total","Total","Total positive decisions","Person","50"
"2008Q4","Greece","Total","Total","Total","Total positive decisions","Person","35"
"2008Q4","Spain","Total","Total","Total","Total positive decisions","Person","75"
"2008Q4","France","Total","Total","Total","Total positive decisions","Person","1,215"
"2008Q4","Italy","Total","Total","Total","Total positive decisions","Person","3,625"
"2008Q4","Cyprus","Total","Total","Total","Total positive decisions","Person","0"
"2008Q4","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q4","Lithuania","Total","Total","Total","Total positive decisions","Person","25"
"2008Q4","Luxembourg","Total","Total","Total","Total positive decisions","Person","15"
"2008Q4","Hungary","Total","Total","Total","Total positive decisions","Person","100"
"2008Q4","Malta","Total","Total","Total","Total positive decisions","Person","265"
"2008Q4","Netherlands","Total","Total","Total","Total positive decisions","Person","1,170"
"2008Q4","Austria","Total","Total","Total","Total positive decisions","Person","730"
"2008Q4","Poland","Total","Total","Total","Total positive decisions","Person","825"
"2008Q4","Portugal","Total","Total","Total","Total positive decisions","Person","5"
"2008Q4","Romania","Total","Total","Total","Total positive decisions","Person","20"
"2008Q4","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q4","Slovakia","Total","Total","Total","Total positive decisions","Person","35"
"2008Q4","Finland","Total","Total","Total","Total positive decisions","Person","180"
"2008Q4","Sweden","Total","Total","Total","Total positive decisions","Person","2,675"
"2008Q4","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,810"
"2008Q4","Norway","Total","Total","Total","Total positive decisions","Person","1,330"
"2009Q1","Belgium","Total","Total","Total","Total positive decisions","Person","700"
"2009Q1","Bulgaria","Total","Total","Total","Total positive decisions","Person","55"
"2009Q1","Czech Republic","Total","Total","Total","Total positive decisions","Person","40"
"2009Q1","Denmark","Total","Total","Total","Total positive decisions","Person","95"
"2009Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,275"
"2009Q1","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q1","Ireland","Total","Total","Total","Total positive decisions","Person","40"
"2009Q1","Greece","Total","Total","Total","Total positive decisions","Person","40"
"2009Q1","Spain","Total","Total","Total","Total positive decisions","Person","65"
"2009Q1","France","Total","Total","Total","Total positive decisions","Person","1,185"
"2009Q1","Italy","Total","Total","Total","Total positive decisions","Person","3,085"
"2009Q1","Cyprus","Total","Total","Total","Total positive decisions","Person","75"
"2009Q1","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q1","Lithuania","Total","Total","Total","Total positive decisions","Person","30"
"2009Q1","Luxembourg","Total","Total","Total","Total positive decisions","Person","30"
"2009Q1","Hungary","Total","Total","Total","Total positive decisions","Person","90"
"2009Q1","Malta","Total","Total","Total","Total positive decisions","Person","530"
"2009Q1","Netherlands","Total","Total","Total","Total positive decisions","Person","1,680"
"2009Q1","Austria","Total","Total","Total","Total positive decisions","Person","745"
"2009Q1","Poland","Total","Total","Total","Total positive decisions","Person","1,100"
"2009Q1","Portugal","Total","Total","Total","Total positive decisions","Person","20"
"2009Q1","Romania","Total","Total","Total","Total positive decisions","Person","40"
"2009Q1","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q1","Slovakia","Total","Total","Total","Total positive decisions","Person","35"
"2009Q1","Finland","Total","Total","Total","Total positive decisions","Person","160"
"2009Q1","Sweden","Total","Total","Total","Total positive decisions","Person","1,470"
"2009Q1","United Kingdom","Total","Total","Total","Total positive decisions","Person","2,625"
"2009Q1","Norway","Total","Total","Total","Total positive decisions","Person","1,290"
"2009Q2","Belgium","Total","Total","Total","Total positive decisions","Person","685"
"2009Q2","Bulgaria","Total","Total","Total","Total positive decisions","Person","60"
"2009Q2","Czech Republic","Total","Total","Total","Total positive decisions","Person","30"
"2009Q2","Denmark","Total","Total","Total","Total positive decisions","Person","125"
"2009Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,780"
"2009Q2","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q2","Ireland","Total","Total","Total","Total positive decisions","Person","30"
"2009Q2","Greece","Total","Total","Total","Total positive decisions","Person","60"
"2009Q2","Spain","Total","Total","Total","Total positive decisions","Person","85"
"2009Q2","France","Total","Total","Total","Total positive decisions","Person","1,190"
"2009Q2","Italy","Total","Total","Total","Total positive decisions","Person","2,485"
"2009Q2","Cyprus","Total","Total","Total","Total positive decisions","Person","245"
"2009Q2","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q2","Lithuania","Total","Total","Total","Total positive decisions","Person","5"
"2009Q2","Luxembourg","Total","Total","Total","Total positive decisions","Person","15"
"2009Q2","Hungary","Total","Total","Total","Total positive decisions","Person","105"
"2009Q2","Malta","Total","Total","Total","Total positive decisions","Person","365"
"2009Q2","Netherlands","Total","Total","Total","Total positive decisions","Person","1,725"
"2009Q2","Austria","Total","Total","Total","Total positive decisions","Person","835"
"2009Q2","Poland","Total","Total","Total","Total positive decisions","Person","845"
"2009Q2","Portugal","Total","Total","Total","Total positive decisions","Person","20"
"2009Q2","Romania","Total","Total","Total","Total positive decisions","Person","30"
"2009Q2","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q2","Slovakia","Total","Total","Total","Total positive decisions","Person","85"
"2009Q2","Finland","Total","Total","Total","Total positive decisions","Person","260"
"2009Q2","Sweden","Total","Total","Total","Total positive decisions","Person","1,565"
"2009Q2","United Kingdom","Total","Total","Total","Total positive decisions","Person","2,035"
"2009Q2","Norway","Total","Total","Total","Total positive decisions","Person","1,290"
"2009Q3","Belgium","Total","Total","Total","Total positive decisions","Person","655"
"2009Q3","Bulgaria","Total","Total","Total","Total positive decisions","Person","85"
"2009Q3","Czech Republic","Total","Total","Total","Total positive decisions","Person","10"
"2009Q3","Denmark","Total","Total","Total","Total positive decisions","Person","195"
"2009Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,625"
"2009Q3","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q3","Ireland","Total","Total","Total","Total positive decisions","Person","25"
"2009Q3","Greece","Total","Total","Total","Total positive decisions","Person","40"
"2009Q3","Spain","Total","Total","Total","Total positive decisions","Person","105"
"2009Q3","France","Total","Total","Total","Total positive decisions","Person","1,390"
"2009Q3","Italy","Total","Total","Total","Total positive decisions","Person","1,600"
"2009Q3","Cyprus","Total","Total","Total","Total positive decisions","Person","515"
"2009Q3","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q3","Lithuania","Total","Total","Total","Total positive decisions","Person","5"
"2009Q3","Luxembourg","Total","Total","Total","Total positive decisions","Person","25"
"2009Q3","Hungary","Total","Total","Total","Total positive decisions","Person","80"
"2009Q3","Malta","Total","Total","Total","Total positive decisions","Person","235"
"2009Q3","Netherlands","Total","Total","Total","Total positive decisions","Person","2,850"
"2009Q3","Austria","Total","Total","Total","Total positive decisions","Person","815"
"2009Q3","Poland","Total","Total","Total","Total positive decisions","Person","465"
"2009Q3","Portugal","Total","Total","Total","Total positive decisions","Person","0"
"2009Q3","Romania","Total","Total","Total","Total positive decisions","Person","25"
"2009Q3","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q3","Slovakia","Total","Total","Total","Total positive decisions","Person","25"
"2009Q3","Finland","Total","Total","Total","Total positive decisions","Person","140"
"2009Q3","Sweden","Total","Total","Total","Total positive decisions","Person","1,565"
"2009Q3","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,920"
"2009Q3","Norway","Total","Total","Total","Total positive decisions","Person","950"
"2009Q4","Belgium","Total","Total","Total","Total positive decisions","Person","870"
"2009Q4","Bulgaria","Total","Total","Total","Total positive decisions","Person","65"
"2009Q4","Czech Republic","Total","Total","Total","Total positive decisions","Person","20"
"2009Q4","Denmark","Total","Total","Total","Total positive decisions","Person","375"
"2009Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,085"
"2009Q4","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2009Q4","Ireland","Total","Total","Total","Total positive decisions","Person","30"
"2009Q4","Greece","Total","Total","Total","Total positive decisions","Person","25"
"2009Q4","Spain","Total","Total","Total","Total positive decisions","Person","95"
"2009Q4","France","Total","Total","Total","Total positive decisions","Person","1,290"
"2009Q4","Italy","Total","Total","Total","Total positive decisions","Person","1,895"
"2009Q4","Cyprus","Total","Total","Total","Total positive decisions","Person","300"
"2009Q4","Latvia","Total","Total","Total","Total positive decisions","Person","5"
"2009Q4","Lithuania","Total","Total","Total","Total positive decisions","Person","0"
"2009Q4","Luxembourg","Total","Total","Total","Total positive decisions","Person","40"
"2009Q4","Hungary","Total","Total","Total","Total positive decisions","Person","115"
"2009Q4","Malta","Total","Total","Total","Total positive decisions","Person","565"
"2009Q4","Netherlands","Total","Total","Total","Total positive decisions","Person","1,990"
"2009Q4","Austria","Total","Total","Total","Total positive decisions","Person","825"
"2009Q4","Poland","Total","Total","Total","Total positive decisions","Person","115"
"2009Q4","Portugal","Total","Total","Total","Total positive decisions","Person","5"
"2009Q4","Romania","Total","Total","Total","Total positive decisions","Person","20"
"2009Q4","Slovenia","Total","Total","Total","Total positive decisions","Person","15"
"2009Q4","Slovakia","Total","Total","Total","Total positive decisions","Person","30"
"2009Q4","Finland","Total","Total","Total","Total positive decisions","Person","400"
"2009Q4","Sweden","Total","Total","Total","Total positive decisions","Person","2,495"
"2009Q4","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,815"
"2009Q4","Norway","Total","Total","Total","Total positive decisions","Person","980"
"2010Q1","Belgium","Total","Total","Total","Total positive decisions","Person","875"
"2010Q1","Bulgaria","Total","Total","Total","Total positive decisions","Person","35"
"2010Q1","Czech Republic","Total","Total","Total","Total positive decisions","Person","25"
"2010Q1","Denmark","Total","Total","Total","Total positive decisions","Person","240"
"2010Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,270"
"2010Q1","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2010Q1","Ireland","Total","Total","Total","Total positive decisions","Person","15"
"2010Q1","Greece","Total","Total","Total","Total positive decisions","Person","40"
"2010Q1","Spain","Total","Total","Total","Total positive decisions","Person","100"
"2010Q1","France","Total","Total","Total","Total positive decisions","Person","1,415"
"2010Q1","Italy","Total","Total","Total","Total positive decisions","Person","1,425"
"2010Q1","Cyprus","Total","Total","Total","Total positive decisions","Person","260"
"2010Q1","Latvia","Total","Total","Total","Total positive decisions","Person","5"
"2010Q1","Lithuania","Total","Total","Total","Total positive decisions","Person","0"
"2010Q1","Luxembourg","Total","Total","Total","Total positive decisions","Person","25"
"2010Q1","Hungary","Total","Total","Total","Total positive decisions","Person","75"
"2010Q1","Malta","Total","Total","Total","Total positive decisions","Person","135"
"2010Q1","Netherlands","Total","Total","Total","Total positive decisions","Person","1,815"
"2010Q1","Austria","Total","Total","Total","Total positive decisions","Person","785"
"2010Q1","Poland","Total","Total","Total","Total positive decisions","Person","130"
"2010Q1","Portugal","Total","Total","Total","Total positive decisions","Person","15"
"2010Q1","Romania","Total","Total","Total","Total positive decisions","Person","15"
"2010Q1","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2010Q1","Slovakia","Total","Total","Total","Total positive decisions","Person","30"
"2010Q1","Finland","Total","Total","Total","Total positive decisions","Person","485"
"2010Q1","Sweden","Total","Total","Total","Total positive decisions","Person","2,080"
"2010Q1","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,635"
"2010Q1","Norway","Total","Total","Total","Total positive decisions","Person","1,190"
"2010Q2","Belgium","Total","Total","Total","Total positive decisions","Person","660"
"2010Q2","Bulgaria","Total","Total","Total","Total positive decisions","Person","35"
"2010Q2","Czech Republic","Total","Total","Total","Total positive decisions","Person","50"
"2010Q2","Denmark","Total","Total","Total","Total positive decisions","Person","430"
"2010Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,860"
"2010Q2","Estonia","Total","Total","Total","Total positive decisions","Person","5"
"2010Q2","Ireland","Total","Total","Total","Total positive decisions","Person","0"
"2010Q2","Greece","Total","Total","Total","Total positive decisions","Person","20"
"2010Q2","Spain","Total","Total","Total","Total positive decisions","Person","90"
"2010Q2","France","Total","Total","Total","Total positive decisions","Person","1,255"
"2010Q2","Italy","Total","Total","Total","Total positive decisions","Person","1,010"
"2010Q2","Cyprus","Total","Total","Total","Total positive decisions","Person","130"
"2010Q2","Latvia","Total","Total","Total","Total positive decisions","Person","10"
"2010Q2","Lithuania","Total","Total","Total","Total positive decisions","Person","10"
"2010Q2","Luxembourg","Total","Total","Total","Total positive decisions","Person","10"
"2010Q2","Hungary","Total","Total","Total","Total positive decisions","Person","60"
"2010Q2","Malta","Total","Total","Total","Total positive decisions","Person","25"
"2010Q2","Netherlands","Total","Total","Total","Total positive decisions","Person","2,010"
"2010Q2","Austria","Total","Total","Total","Total positive decisions","Person","860"
"2010Q2","Poland","Total","Total","Total","Total positive decisions","Person","140"
"2010Q2","Portugal","Total","Total","Total","Total positive decisions","Person","10"
"2010Q2","Romania","Total","Total","Total","Total positive decisions","Person","5"
"2010Q2","Slovenia","Total","Total","Total","Total positive decisions","Person","10"
"2010Q2","Slovakia","Total","Total","Total","Total positive decisions","Person","15"
"2010Q2","Finland","Total","Total","Total","Total positive decisions","Person","450"
"2010Q2","Sweden","Total","Total","Total","Total positive decisions","Person","2,145"
"2010Q2","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,585"
"2010Q2","Norway","Total","Total","Total","Total positive decisions","Person","1,475"
"2010Q3","Belgium","Total","Total","Total","Total positive decisions","Person","925"
"2010Q3","Bulgaria","Total","Total","Total","Total positive decisions","Person","40"
"2010Q3","Czech Republic","Total","Total","Total","Total positive decisions","Person","35"
"2010Q3","Denmark","Total","Total","Total","Total positive decisions","Person","355"
"2010Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","3,145"
"2010Q3","Estonia","Total","Total","Total","Total positive decisions","Person","5"
"2010Q3","Ireland","Total","Total","Total","Total positive decisions","Person","5"
"2010Q3","Greece","Total","Total","Total","Total positive decisions","Person","20"
"2010Q3","Spain","Total","Total","Total","Total positive decisions","Person","215"
"2010Q3","France","Total","Total","Total","Total positive decisions","Person","1,160"
"2010Q3","Italy","Total","Total","Total","Total positive decisions","Person","890"
"2010Q3","Cyprus","Total","Total","Total","Total positive decisions","Person","10"
"2010Q3","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2010Q3","Lithuania","Total","Total","Total","Total positive decisions","Person","5"
"2010Q3","Luxembourg","Total","Total","Total","Total positive decisions","Person","15"
"2010Q3","Hungary","Total","Total","Total","Total positive decisions","Person","70"
"2010Q3","Malta","Total","Total","Total","Total positive decisions","Person","45"
"2010Q3","Netherlands","Total","Total","Total","Total positive decisions","Person","2,040"
"2010Q3","Austria","Total","Total","Total","Total positive decisions","Person","935"
"2010Q3","Poland","Total","Total","Total","Total positive decisions","Person","120"
"2010Q3","Portugal","Total","Total","Total","Total positive decisions","Person","10"
"2010Q3","Romania","Total","Total","Total","Total positive decisions","Person","10"
"2010Q3","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2010Q3","Slovakia","Total","Total","Total","Total positive decisions","Person","15"
"2010Q3","Finland","Total","Total","Total","Total positive decisions","Person","390"
"2010Q3","Sweden","Total","Total","Total","Total positive decisions","Person","2,225"
"2010Q3","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,585"
"2010Q3","Norway","Total","Total","Total","Total positive decisions","Person","1,325"
"2010Q4","Belgium","Total","Total","Total","Total positive decisions","Person","1,050"
"2010Q4","Bulgaria","Total","Total","Total","Total positive decisions","Person","25"
"2010Q4","Czech Republic","Total","Total","Total","Total positive decisions","Person","60"
"2010Q4","Denmark","Total","Total","Total","Total positive decisions","Person","325"
"2010Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,170"
"2010Q4","Estonia","Total","Total","Total","Total positive decisions","Person","5"
"2010Q4","Ireland","Total","Total","Total","Total positive decisions","Person","5"
"2010Q4","Greece","Total","Total","Total","Total positive decisions","Person","30"
"2010Q4","Spain","Total","Total","Total","Total positive decisions","Person","205"
"2010Q4","France","Total","Total","Total","Total positive decisions","Person","1,270"
"2010Q4","Italy","Total","Total","Total","Total positive decisions","Person","980"
"2010Q4","Cyprus","Total","Total","Total","Total positive decisions","Person","20"
"2010Q4","Latvia","Total","Total","Total","Total positive decisions","Person","5"
"2010Q4","Lithuania","Total","Total","Total","Total positive decisions","Person","5"
"2010Q4","Luxembourg","Total","Total","Total","Total positive decisions","Person","15"
"2010Q4","Hungary","Total","Total","Total","Total positive decisions","Person","50"
"2010Q4","Malta","Total","Total","Total","Total positive decisions","Person","15"
"2010Q4","Netherlands","Total","Total","Total","Total positive decisions","Person","2,135"
"2010Q4","Austria","Total","Total","Total","Total positive decisions","Person","870"
"2010Q4","Poland","Total","Total","Total","Total positive decisions","Person","115"
"2010Q4","Portugal","Total","Total","Total","Total positive decisions","Person","25"
"2010Q4","Romania","Total","Total","Total","Total positive decisions","Person","40"
"2010Q4","Slovenia","Total","Total","Total","Total positive decisions","Person","10"
"2010Q4","Slovakia","Total","Total","Total","Total positive decisions","Person","30"
"2010Q4","Finland","Total","Total","Total","Total positive decisions","Person","265"
"2010Q4","Sweden","Total","Total","Total","Total positive decisions","Person","2,060"
"2010Q4","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,685"
"2010Q4","Norway","Total","Total","Total","Total positive decisions","Person","1,310"
"2011Q1","Belgium","Total","Total","Total","Total positive decisions","Person","1,080"
"2011Q1","Bulgaria","Total","Total","Total","Total positive decisions","Person","35"
"2011Q1","Czech Republic","Total","Total","Total","Total positive decisions","Person","125"
"2011Q1","Denmark","Total","Total","Total","Total positive decisions","Person","275"
"2011Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,520"
"2011Q1","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2011Q1","Ireland","Total","Total","Total","Total positive decisions","Person","15"
"2011Q1","Greece","Total","Total","Total","Total positive decisions","Person","75"
"2011Q1","Spain","Total","Total","Total","Total positive decisions","Person","180"
"2011Q1","France","Total","Total","Total","Total positive decisions","Person","1,105"
"2011Q1","Italy","Total","Total","Total","Total positive decisions","Person","1,125"
"2011Q1","Cyprus","Total","Total","Total","Total positive decisions","Person","10"
"2011Q1","Latvia","Total","Total","Total","Total positive decisions","Person","5"
"2011Q1","Lithuania","Total","Total","Total","Total positive decisions","Person","5"
"2011Q1","Luxembourg","Total","Total","Total","Total positive decisions","Person","10"
"2011Q1","Hungary","Total","Total","Total","Total positive decisions","Person","35"
"2011Q1","Malta","Total","Total","Total","Total positive decisions","Person","15"
"2011Q1","Netherlands","Total","Total","Total","Total positive decisions","Person","1,855"
"2011Q1","Austria","Total","Total","Total","Total positive decisions","Person","1,035"
"2011Q1","Poland","Total","Total","Total","Total positive decisions","Person","105"
"2011Q1","Portugal","Total","Total","Total","Total positive decisions","Person","25"
"2011Q1","Romania","Total","Total","Total","Total positive decisions","Person","25"
"2011Q1","Slovenia","Total","Total","Total","Total positive decisions","Person","5"
"2011Q1","Slovakia","Total","Total","Total","Total positive decisions","Person","25"
"2011Q1","Finland","Total","Total","Total","Total positive decisions","Person","275"
"2011Q1","Sweden","Total","Total","Total","Total positive decisions","Person","1,775"
"2011Q1","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,815"
"2011Q1","Norway","Total","Total","Total","Total positive decisions","Person","1,120"
"2011Q2","Belgium","Total","Total","Total","Total positive decisions","Person","1,125"
"2011Q2","Bulgaria","Total","Total","Total","Total positive decisions","Person","55"
"2011Q2","Czech Republic","Total","Total","Total","Total positive decisions","Person","75"
"2011Q2","Denmark","Total","Total","Total","Total positive decisions","Person","335"
"2011Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,390"
"2011Q2","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2011Q2","Ireland","Total","Total","Total","Total positive decisions","Person","25"
"2011Q2","Greece","Total","Total","Total","Total positive decisions","Person","55"
"2011Q2","Spain","Total","Total","Total","Total positive decisions","Person","145"
"2011Q2","France","Total","Total","Total","Total positive decisions","Person","1,195"
"2011Q2","Italy","Total","Total","Total","Total positive decisions","Person","1,620"
"2011Q2","Cyprus","Total","Total","Total","Total positive decisions","Person","25"
"2011Q2","Latvia","Total","Total","Total","Total positive decisions","Person","5"
"2011Q2","Lithuania","Total","Total","Total","Total positive decisions","Person","0"
"2011Q2","Luxembourg","Total","Total","Total","Total positive decisions","Person","10"
"2011Q2","Hungary","Total","Total","Total","Total positive decisions","Person","45"
"2011Q2","Malta","Total","Total","Total","Total positive decisions","Person","470"
"2011Q2","Netherlands","Total","Total","Total","Total positive decisions","Person","1,750"
"2011Q2","Austria","Total","Total","Total","Total positive decisions","Person","905"
"2011Q2","Poland","Total","Total","Total","Total positive decisions","Person","140"
"2011Q2","Portugal","Total","Total","Total","Total positive decisions","Person","10"
"2011Q2","Romania","Total","Total","Total","Total positive decisions","Person","15"
